Steam Game,day,DOTA
day1,Mon,643393
day2,Tue,632074
day3,Wed,630606
day4,Thu,634438
day5,Fri,667028
day6,Sat,723653
day7,Sun,689406
day8,Mon,630503
day9,Tue,629003
day10,Wed,622859
day11,Thu,623421
day12,Fri,676984
day13,Sat,739643
day14,Sun,705165
day15,Mon,635466
day16,Tue,623257
day17,Wed,625251
day18,Thu,618369
day19,Fri,668753
day20,Sat,733351
day21,Sun,721212
day22,Mon,631029
day23,Tue,604433
day24,Wed,616391
day25,Thu,624675
day26,Fri,672077
day27,Sat,731899
day28,Sun,711608
day29,Mon,636624
day30,Tue,639112
day31,Wed,633458
