Steam Game,PUBG,DOTA,CS:GO,Path of Exile,Rainbow Six Siege
day1,944723,643393,516832,38275,89017
day2,939407,632074,512141,36429,103545
day3,959467,630606,512232,35165,103115
day4,936215,634438,506424,34291,96823
day5,912582,667028,541908,34069,94284
day6,1048662,723653,565968,38087,123540
day7,1020689,689406,543647,39108,113865
day8,940392,630503,505094,34962,93312
day9,940169,629003,493829,31837,91078
day10,844009,622859,484254,29975,88450
day11,836757,623421,483746,29380,86376
day12,937385,676984,526920,29196,104367
day13,1005625,739643,529519,31981,116310
day14,929059,705165,519935,33044,103467
day15,875652,635466,477167,28013,81221
day16,842458,623257,477167,26229,81982
day17,837180,625251,461327,25741,82804
day18,862524,618369,469555,24945,73833
day19,924565,668753,465050,24735,97837
day20,965507,733351,510049,28106,109947
day21,944199,721212,529812,28963,97599
day22,858352,631029,518544,24542,78069
day23,800885,604433,463594,23680,79987
day24,864576,616391,452950,22794,81389
day25,857676,624675,475508,21938,83162
day26,920994,672077,487392,21797,119881
day27,956512,731899,524092,24337,123794
day28,913593,711608,543262,25246,107567
day29,849455,636624,513889,20391,83210
day30,847161,639112,474492,19525,82761
day31,944723,633458,459860,18434,80912
