Steam Game,day,Path of Exile
day1,Mon,38275
day2,Tue,36429
day3,Wed,35165
day4,Thu,34291
day5,Fri,34069
day6,Sat,38087
day7,Sun,39108
day8,Mon,34962
day9,Tue,31837
day10,Wed,29975
day11,Thu,29380
day12,Fri,29196
day13,Sat,31981
day14,Sun,33044
day15,Mon,28013
day16,Tue,26229
day17,Wed,25741
day18,Thu,24945
day19,Fri,24735
day20,Sat,28106
day21,Sun,28963
day22,Mon,24542
day23,Tue,23680
day24,Wed,22794
day25,Thu,21938
day26,Fri,21797
day27,Sat,24337
day28,Sun,25246
day29,Mon,20391
day30,Tue,19525
day31,Wed,18434
