Steam Game,day,PUBG
day1,Mon,944723
day2,Tue,939407
day3,Wed,959467
day4,Thu,936215
day5,Fri,912582
day6,Sat,1048662
day7,Sun,1020689
day8,Mon,940392
day9,Tue,940169
day10,Wed,844009
day11,Thu,836757
day12,Fri,937385
day13,Sat,1005625
day14,Sun,929059
day15,Mon,875652
day16,Tue,842458
day17,Wed,837180
day18,Thu,862524
day19,Fri,924565
day20,Sat,965507
day21,Sun,944199
day22,Mon,858352
day23,Tue,800885
day24,Wed,864576
day25,Thu,857676
day26,Fri,920994
day27,Sat,956512
day28,Sun,913593
day29,Mon,849455
day30,Tue,847161
day31,Wed,944723
