Steam Game,day,Rainbow Six Siege
day1,Mon,89017
day2,Tue,103545
day3,Wed,103115
day4,Thu,96823
day5,Fri,94284
day6,Sat,123540
day7,Sun,113865
day8,Mon,93312
day9,Tue,91078
day10,Wed,88450
day11,Thu,86376
day12,Fri,104367
day13,Sat,116310
day14,Sun,103467
day15,Mon,81221
day16,Tue,81982
day17,Wed,82804
day18,Thu,73833
day19,Fri,97837
day20,Sat,109947
day21,Sun,97599
day22,Mon,78069
day23,Tue,79987
day24,Wed,81389
day25,Thu,83162
day26,Fri,119881
day27,Sat,123794
day28,Sun,107567
day29,Mon,83210
day30,Tue,82761
day31,Wed,80912
